last_name, first_name,player_id,year
Wainwright, Adam,425794,2022
Verlander, Justin,434378,2022
Kluber, Corey,446372,2022
Hill, Rich,448179,2022
Morton, Charlie,450203,2022
Carrasco, Carlos,471911,2022
Quintana, Jose,500779,2022
Gibson, Kyle,502043,2022
Darvish, Yu,506433,2022
Bumgarner, Madison,518516,2022
Kelly, Merrill,518876,2022
Perez, Martin,527048,2022
Anderson, Tyler,542881,2022
Cole, Gerrit,543037,2022
Eovaldi, Nathan,543135,2022
Hendricks, Kyle,543294,2022
Lyles, Jordan,543475,2022
Lorenzen, Michael,547179,2022
Wheeler, Zack,554430,2022
Corbin, Patrick,571578,2022
Mikolas, Miles,571945,2022
Kikuchi, Yusei,579328,2022
Gausman, Kevin,592332,2022
Gray, Jon,592351,2022
Ray, Robbie,592662,2022
Taillon, Jameson,592791,2022
Walker, Taijuan,592836,2022
Montas, Frankie,593423,2022
Gonzales, Marco,594835,2022
Gomber, Austin,596295,2022
Pivetta, Nick,601713,2022
Bassitt, Chris,605135,2022
Bundy, Dylan,605164,2022
Davies, Zach,605200,2022
Houser, Adrian,605288,2022
Musgrove, Joe,605397,2022
Nola, Aaron,605400,2022
Rodon, Carlos,607074,2022
Fedde, Erick,607200,2022
Martinez, Nick,607259,2022
Freeland, Kyle,607536,2022
Fried, Max,608331,2022
Giolito, Lucas,608337,2022
Irvin, Cole,608344,2022
Wacha, Michael,608379,2022
Marquez, German,608566,2022
Quantrill, Cal,615698,2022
Eflin, Zach,621107,2022
Buehler, Walker,621111,2022
Blackburn, Paul,621112,2022
Berrios, Jose,621244,2022
Hearn, Taylor,621368,2022
Wood, Alex,622072,2022
Senzatela, Antonio,622608,2022
Severino, Luis,622663,2022
Flexen, Chris,623167,2022
Suarez, Ranger,624133,2022
Urias, Julio,628711,2022
Manaea, Sean,640455,2022
Lopez, Pablo,641154,2022
Cortes, Nestor,641482,2022
Dunning, Dane,641540,2022
Hudson, Dakota,641712,2022
Keller, Brad,641745,2022
Kuhl, Chad,641771,2022
Lauer, Eric,641778,2022
Mahle, Tyler,641816,2022
Alcantara, Sandy,645261,2022
Cease, Dylan,656302,2022
Keller, Mitch,656605,2022
Montgomery, Jordan,656756,2022
Steele, Justin,657006,2022
Wright, Kyle,657140,2022
Webb, Logan,657277,2022
Ohtani, Shohei,660271,2022
McKenzie, Triston,663474,2022
McClanahan, Shane,663556,2022
Lynch, Daniel,663738,2022
Sandoval, Patrick,663776,2022
Gonsolin, Tony,664062,2022
Brubaker, JT,664141,2022
Valdez, Framber,664285,2022
Javier, Cristian,664299,2022
Urquidy, Jose,664353,2022
Anderson, Ian,666120,2022
Manoah, Alek,666201,2022
Plesac, Zach,668676,2022
Gallen, Zac,668678,2022
Greene, Hunter,668881,2022
Gore, MacKenzie,669022,2022
Zimmermann, Bruce,669145,2022
Burnes, Corbin,669203,2022
Gilbert, Logan,669302,2022
Wells, Tyler,669330,2022
Skubal, Tarik,669373,2022
Rogers, Trevor,669432,2022
Bieber, Shane,669456,2022
Adon, Joan,672851,2022
Garcia, Luis,677651,2022
Gray, Josiah,680686,2022
Brieske, Beau,689225,2022
